family,condition,metric,live_turn,episodes_with_event,denominator,percent,episodes_observed_at_this_live_turn
GPT,working,first_post_live_turn,62,4,50,8.0,0
GPT,working,first_post_live_turn,63,4,50,8.0,0
GPT,working,first_post_live_turn,64,4,50,8.0,0
GPT,working,first_post_live_turn,65,4,50,8.0,0
GPT,working,first_post_live_turn,66,4,50,8.0,0
GPT,working,first_post_live_turn,67,4,50,8.0,0
GPT,working,first_post_live_turn,68,4,50,8.0,0
GPT,working,first_post_live_turn,69,4,50,8.0,0
GPT,working,first_post_live_turn,70,4,50,8.0,0
GPT,working,first_post_live_turn,71,4,50,8.0,0
GPT,working,first_post_live_turn,72,4,50,8.0,0
GPT,working,first_post_live_turn,73,4,50,8.0,0
GPT,working,first_post_live_turn,74,4,50,8.0,0
GPT,working,first_post_live_turn,75,4,50,8.0,0
GPT,working,first_post_live_turn,76,4,50,8.0,0
GPT,working,first_post_live_turn,77,4,50,8.0,0
GPT,working,first_post_live_turn,78,4,50,8.0,0
GPT,working,first_post_live_turn,79,4,50,8.0,0
GPT,working,first_post_live_turn,80,4,50,8.0,0
GPT,working,first_post_live_turn,81,4,50,8.0,0
GPT,working,first_post_live_turn,82,4,50,8.0,0
GPT,working,first_post_live_turn,83,4,50,8.0,0
GPT,working,first_post_live_turn,84,4,50,8.0,0
GPT,working,first_post_live_turn,85,4,50,8.0,0
GPT,working,first_post_live_turn,86,4,50,8.0,0
GPT,working,first_post_live_turn,87,4,50,8.0,0
GPT,working,first_post_live_turn,88,4,50,8.0,0
GPT,working,first_post_live_turn,89,4,50,8.0,0
GPT,working,first_post_live_turn,90,4,50,8.0,0
GPT,working,first_post_live_turn,91,4,50,8.0,0
GPT,working,first_post_live_turn,92,4,50,8.0,0
GPT,working,first_post_live_turn,93,4,50,8.0,0
GPT,working,first_post_live_turn,94,4,50,8.0,0
GPT,working,first_post_live_turn,95,4,50,8.0,0
GPT,working,first_post_live_turn,96,4,50,8.0,0
GPT,working,first_post_live_turn,97,4,50,8.0,0
GPT,working,first_post_live_turn,98,4,50,8.0,0
GPT,working,first_post_live_turn,99,4,50,8.0,0
GPT,working,first_post_live_turn,100,4,50,8.0,0
GPT,slow,first_cited_coordination_live_turn,0,0,50,0.0,50
GPT,slow,first_cited_coordination_live_turn,1,4,50,8.0,50
GPT,slow,first_cited_coordination_live_turn,2,5,50,10.0,50
GPT,slow,first_cited_coordination_live_turn,3,5,50,10.0,50
GPT,slow,first_cited_coordination_live_turn,4,9,50,18.0,50
